Schedule,Item,Description,MDRM_Prefix,MDRM_Code,Item_Number
RC-R Part II,LESS Excess AACL,LESS Excess adjusted allowances for credit losses,RCFD,A222,29.
RC-R Part II,LESS ATRR,LESS Allocated transfer risk reserve,RCFD,3128,30.
RC-R Part II,Total risk-weighted assets,Total risk-weighted assets,RCFD,G641,31.
RC-R Part II,Current credit exposure derivatives,Current credit exposure across all derivative contracts,RCFD,G642,M.1.
RC-R Part II,ACL PCD loans HFI,Allowances for credit losses on PCD assets loans and leases HFI,RCFD,JJ30,M.4.a.
RC-R Part II,ACL PCD HTM,Allowances for credit losses on PCD assets HTM debt securities,RCFD,JJ31,M.4.b.
RC-R Part II,ACL PCD other,Allowances for credit losses on PCD assets other financial assets,RCFD,JJ32,M.4.c.
RC-S,Securitized assets 1-4 family,Outstanding principal balance securitized with servicing retained 1-4 family,RCFD,B705,1. Col A
RC-S,Securitized assets home equity,Outstanding principal balance securitized home equity lines,RCFD,B706,1. Col B
RC-S,Securitized assets credit card,Outstanding principal balance securitized credit card receivables,RCFD,B707,1. Col C
RC-S,Securitized assets auto,Outstanding principal balance securitized auto loans,RCFD,B708,1. Col D
RC-S,Securitized assets other consumer,Outstanding principal balance securitized other consumer loans,RCFD,B709,1. Col E
RC-S,Securitized assets C&I,Outstanding principal balance securitized C&I loans,RCFD,B710,1. Col F
RC-S,Securitized assets all other,Outstanding principal balance securitized all other,RCFD,B711,1. Col G
RC-S,Max credit exposure 1-4 family,Maximum credit exposure from recourse 1-4 family,RCFD,HU09,2. Col A
RC-S,Max credit exposure home equity,Maximum credit exposure from recourse home equity,RCFD,HU10,2. Col B
RC-S,Max credit exposure credit card,Maximum credit exposure from recourse credit card,RCFD,HU11,2. Col C
RC-S,Max credit exposure auto,Maximum credit exposure from recourse auto,RCFD,HU12,2. Col D
RC-S,Max credit exposure other consumer,Maximum credit exposure from recourse other consumer,RCFD,HU13,2. Col E
RC-S,Max credit exposure C&I,Maximum credit exposure from recourse C&I,RCFD,HU14,2. Col F
RC-S,Max credit exposure all other,Maximum credit exposure from recourse all other,RCFD,HU15,2. Col G
RC-S,Unused liquidity commitments 1-4 fam,Unused commitments to provide liquidity 1-4 family,RCFD,B726,3. Col A
RC-S,Unused liquidity commitments home eq,Unused commitments to provide liquidity home equity,RCFD,B727,3. Col B
RC-S,Unused liquidity commitments credit card,Unused commitments to provide liquidity credit card,RCFD,B728,3. Col C
RC-S,Unused liquidity commitments auto,Unused commitments to provide liquidity auto,RCFD,B729,3. Col D
RC-S,Unused liquidity commitments other consumer,Unused commitments to provide liquidity other consumer,RCFD,B730,3. Col E
RC-S,Unused liquidity commitments C&I,Unused commitments to provide liquidity C&I,RCFD,B731,3. Col F
RC-S,Unused liquidity commitments all other,Unused commitments to provide liquidity all other,RCFD,B732,3. Col G
