Schedule,Item,Description,MDRM_Prefix,MDRM_Code,Item_Number
RC-V,VIE cash other,Assets of consolidated VIEs cash and balances other VIEs,RCFD,JF84,1.a. Col B
RC-V,VIE securities securitization,VIE securities not held for trading securitization vehicles,RCFD,HU20,1.b. Col A
RC-V,VIE securities other,VIE securities not held for trading other VIEs,RCFD,HU21,1.b. Col B
RC-V,VIE loans securitization,VIE loans and leases net of allowance securitization vehicles,RCFD,HU22,1.c. Col A
RC-V,VIE loans other,VIE loans and leases net of allowance other VIEs,RCFD,HU23,1.c. Col B
RC-V,VIE OREO securitization,VIE other real estate owned securitization vehicles,RCFD,K009,1.d. Col A
RC-V,VIE OREO other,VIE other real estate owned other VIEs,RCFD,JF89,1.d. Col B
RC-V,VIE other assets securitization,VIE other assets securitization vehicles,RCFD,JF91,1.e. Col A
RC-V,VIE other assets other,VIE other assets other VIEs,RCFD,JF90,1.e. Col B
RC-V,VIE borrowed money securitization,VIE other borrowed money securitization vehicles,RCFD,JF92,2.a. Col A
RC-V,VIE borrowed money other,VIE other borrowed money other VIEs,RCFD,JF85,2.a. Col B
RC-V,VIE other liabilities securitization,VIE other liabilities securitization vehicles,RCFD,JF93,2.b. Col A
RC-V,VIE other liabilities other,VIE other liabilities other VIEs,RCFD,JF86,2.b. Col B
RC-V,All other VIE assets securitization,All other assets of consolidated VIEs securitization vehicles,RCFD,K030,3. Col A
RC-V,All other VIE assets other,All other assets of consolidated VIEs other VIEs,RCFD,JF87,3. Col B
RC-V,All other VIE liabilities securitization,All other liabilities of consolidated VIEs securitization vehicles,RCFD,K033,4. Col A
RC-V,All other VIE liabilities other,All other liabilities of consolidated VIEs other VIEs,RCFD,JF88,4. Col B
RC-V,ABCP conduit total assets,Total assets of ABCP conduit VIEs,RCFD,JF77,5.
RC-V,ABCP conduit total liabilities,Total liabilities of ABCP conduit VIEs,RCFD,JF78,6.
Narrative,Comments flag,Does bank wish to submit narrative statement,RCON,6979,Comments
Narrative,Bank management statement,Bank management statement text,TEXT,6980,Statement
