Line Item No.,Line Item Name,MDRM (CCHE),Detailed Description,Allowed Values,Format / Line Item Length
58,Interest Rate Frozen,M232,"Interest Rate Frozen - Report on all loans where a floating interest rate was frozen at a fixed rate. If the loan was adjustable and converted to fixed during modification, code ""Y""; otherwise ""N"".","N = No; Y = Yes",Character(1)
59,Principal Deferred,M227,"Principal Deferred - Report on any loans where principal payment or amortization has been deferred to a later date during modification process. Code ""Y"" if deferred; otherwise ""N"".","N = No; Y = Yes",Character(1)
60,Purchased Credit Deteriorated Status,M234,"Report in field 60 whether any loans are accounted for as purchased-credit deteriorated. If the loan is a PCD loan, code ""Y""; otherwise ""N"". Note: None of the records should be left blank.","N = No; Y = Yes",Character(1)
61,Workout Type Completed,M218,"Workout Type Completed / Executed - Report the type of loss mitigation activity successfully completed in the current month. Code only in the month completed. If efforts ongoing, leave blank. If never in loss mitigation, leave blank. If efforts fail, report 0 and Loss Mitigation Status=3 (Broken).","0 = No Workout Plan Performed; 1 = Modification; 2 = Payment Plan; 3 = Deed in Lieu; 4 = Short Sale; 5 = Stipulated Repayment / stip to mod (Retired); 6 = Do not Use; 7 = Settlement; 8 = Other; 9 = Forbearance Plan; 16 = Refinance; 17 = Partial Claim/Junior Lien",Numeric
62,First Mortgage Serviced In House,M253,"First Mortgage Serviced In House - Report any instance where the first mortgage associated with the home equity loan/line is serviced by your bank. Leave blank for any first lien home equities.","N = No the first mortgage is not serviced in house; Y = Yes, the first mortgage is serviced in house.",Character(1)
63,Settlement Negotiated Amount,M254,"Settlement Negotiated Amount - Report the settlement amount (portion of outstanding UPB) agreed to be paid by the customer. Populate for loans/lines where ""Settlement"" is selected under Workout Type Completed.","e.g., 125000 for $125,000.00. Use Banker's Rounding",Whole Number
64,Credit Line Frozen Flag,M255,"Credit Line Frozen Flag - Report whether the line of credit is frozen in the reporting month. Identifies any line in its draw period temporarily frozen, allowing no further draws. Continue coding ""Y"" each month until paid in full or reinstated. Leave blank for home equity loans. Note: Frozen is temporary and distinct from closed.","N = No the line of credit was not frozen; Y = Yes the line of credit was frozen in the reporting month",Character(1)
65,Locked Amount - Amortizing - LOC,M256,"Locked Amount - Amortizing - LOC - Report the amount of credit line that has been locked and is now amortizing. For lines of credit, populate with the total dollar amount locked and amortizing under independent loan terms. Leave blank for home equity loans and lines without lockout feature. If lockout feature exists but no balance locked, report zero.","e.g., 125000 for $125,000.00. Use Banker's Rounding",Whole Number
66,Locked Amount - Interest Only - LOC,M257,"Locked Amount - Interest Only - LOC - Report the amount of credit line that has been locked (Interest Only). For lines of credit, populate with the total dollar amount locked as interest only under independent terms. Leave blank for home equity loans and lines without lockout feature. If lockout feature exists but no balance locked, report zero.","e.g., 125000 for $125,000.00. Use Banker's Rounding",Whole Number
67,Repayment Plan Start Date (Retired March 2020),M258,Retired March 2020,,
68,Actual Payment Amount,M259,"Actual Payment Amount - Report the actual dollar amount of the principal and interest payment received in the reporting month. Do not include fee payments.","e.g., 125000 for $125,000.00. Use Banker's Rounding",Whole Number
69,Lockout Feature Flag,M260,"Lockout Feature Flag - Report whether the line of credit has a lock-out feature whereby a portion of outstanding principal balance may be locked into an amortizing or interest only loan with separate terms. Leave blank for home equity loans. For HELOCs, only use ""Y"" or ""N"".","N = No; Y = Yes",Character(1)
70,Credit Line Closed Flag,M261,"Credit Line Closed Flag - Report any line of credit in its draw period that has been closed, allowing no further draws or increase in principal balance. Status should remain until paid in full. Leave blank for home equity loans. Note: A closed line means the borrower will never regain use of the draw.","N = No; Y = Yes",Character(1)
71,Interest Rate Reduced (Retired September 2022),M262,Retired September 2022,,
72,Term modification,M263,"Term modification - Report whether the loan has been through a term modification (change to rate reset date, balloon feature and/or maturity date). Code ""Y"" if changed through modification; otherwise ""N"". None of the records should be left blank.","N = No; Y = Yes",Character(1)
73,Principal Write-down,M229,"Principal Write-down - Report all loans where an adjustment to the unpaid principal balance has occurred through modification. Code ""Y"" if adjustment occurred; otherwise ""N"". Only for loans that have undergone reduction in principal due to modification or loss mitigation. Should only be populated for loans also identified as modifications.","N = No; Y = Yes",Character(1)
74,Line Re-age,M264,"Report whether the line of credit has been re-aged (delinquency status changed by collections/customer service as loss mitigation) but not formally modified. Code ""Y"" for re-aged lines not in active loss mitigation. Code ""N"" for modified but not re-aged. Leave blank if neither modified/re-aged, or if this is a loan. Should carry forward from month to month. Do not count holiday extensions.","N = No; Y = Yes; If record is loan please leave blank",Character(1)
75,Loan Extension,M265,"Report whether the home equity loan has been extended but terms not formally modified. Code ""Y"" for extended loans not in active loss mitigation. Loans in loss mitigation where amortization term is being changed should be captured under Modification. Leave blank for lines.","N = No; Y = Yes; If record is line please leave blank",Character(1)
