Line Item No.,Line Item Name,MDRM (CCHE),Detailed Description,Allowed Values,Format / Line Item Length
87,Foreclosure Suspended,M204,"Foreclosure Suspended - Report all loans where foreclosure activities are being suspended regardless of the reason for suspension. Flag indicating an active foreclosure suspension. Note: The code value for this line item should follow public reporting (SEC 10-K, etc.) of this item.","N = Foreclosure was not suspended in the reporting month (also code for loans not in foreclosure); Y = Foreclosure was suspended as of the last day of the reporting month",Character(1)
88,Property Valuation Method at Origination (appraisal method),M940,"Report the method used to determine the property value at time of origination.","1 = Full Appraisal; 2 = Limited appraisal; 3 = Broker Price Opinion ""BPO""; 4 = Desktop Valuation; 5 = Automated Valuation Model ""AVM""; 6 = Unknown; 7 = TAV - tax assessed value; 8 = Purchase Price; 9 = Other",Character(1)
89,Loss Mitigation Performance Status,M226,"Loss Mitigation Performance Status - Report whether a loan is being actively handled by the servicer's loss mitigation department. Refers to all loans where the servicer has initiated loss mitigation procedures whether or not a particular course of action or workout type has been executed. Applies to all loans regardless of workout type (Line item 61 Workout Type Completed/Executed).","0 = No loss mitigation action in place; 1 = Active and Performing; 2 = Active and Nonperforming; 3 = Broken",Character(1)
90,Other Modification Action Type,M958,"Report any modification type not covered by the previous categories. If the loan was modified and none of the categories reflect how the loan was modified, this line item should be 'Y'; otherwise, it should be 'N'. Report for all loans with a value in Line item 77 Modification Type. Otherwise, leave blank. Note: The modification action type categories already captured are 71 (Rate Reduction), 72 (Term Modification), 73 (Principal write-down), 57 (Capitalization), 58 (Interest Rate Frozen), 59 (Principal Deferred).","N = No; Y = Yes",Character(1)
91,Reason for Default,,This item has been removed and should not be reported.,,
92,Third Party Sale Flag,M941,"Report any third party sales at time of foreclosure sale. Identify any loan where the title has transferred to a party other than the servicer at the time of foreclosure sale. If the loan was not sold to a third party or is not currently in foreclosure this line item should be coded with a zero.","0 = The loan was not sold to a third party (also code zero loans not in foreclosure); 1 = The loan was sold to a third party at foreclosure sale",Character(1)
93,Loss/Write down Amount (Retired March 2020),M241,,,
94,Loss/Write down Date (Retired March 2020),M947,,,
95,Unpaid Principal Balance (Net),M960,"Report the current net unpaid balance at end of the reporting month rounded to the nearest dollar. Net Unpaid Principal Balance for a Home Equity loan is the Gross Unpaid Principal Balance minus any charge-offs taken against the loan loss reserve (ACL) for that same loan. The charge-off amount for Net Unpaid Balance is the cumulative charge-off to date for the loan and not the partial charge-off amount for the given reporting month. Net UPB is rounded to the nearest dollar. If Net UPB is unknown because the loan is Serviced for Others or for any other reason, this value should be left blank. This value should equal the book value on regulatory filings.","e.g., 125000 for $125,000.00. Use banker's rounding.",Whole Number
96,Performance of First Lien (Retired June 2016),M961,,,
97,Ever 90+ DPD in the Past 12 months (Retired March 2020),M950,,,
