Line Item No.,Line Item Name,MDRM (CCHE),Detailed Description,Allowed Values,Format / Line Item Length
24,Credit Class,M156,"Credit Class - Report the credit class designation as Prime, Alt-A, Non-prime, or Government Owned as assessed at the time of loan origination; it shall not change over time.","1 = Prime; 2 = Alt-A; 3 = Non-prime; 4 = Government Owned",Character(1)
25,Loan / Line Owner,M245,"Loan / Line Owner - Report the investor of the loan. Securitized = loans securitized by private or public issuers. Portfolio = loans owned and held on the bank's balance sheet (including HFS and HFI). Serviced For Others = loans not in securitizations and owned by another party.","1 = Securitized; 2 = Portfolio; 3 = Serviced For Others; 4 = Other",Character(1)
26,ARM Initial Rate Period,M171,"ARM initial rate adjustment period (In months) - Report the term from origination to the first interest rate change date for ARMs. Report the initial fixed P&I payment period in months for adjustable rate hybrid loans.",Whole Number,Whole Number
27,ARM Payment Reset Frequency,M246,"Report the payment reset frequency for adjustable rate loans in months. Example: annual adjustment = 12 months; floating rate note resetting monthly = 1.",Whole Number,Whole Number
28,Allowable Draw Period,M247,"Draw Period - For lines of credit only, report the duration in months (starting with origination date) during which the borrower can make withdrawals. Leave blank for home equity loans. Use 999 for ""evergreen"" accounts.","1 - 480; 999",Whole Number
29,ARM Index,M173,"Report the published financial index name used to determine the interest rate. All ARM interest rate and payment variables should be populated with origination values. If using WSJ prime rate, use code '50'. For HELOCs, use items 29-36 for caps, floors, margins, and rate indexes.","07=COSI; 10=Tbill Unknown Type; 11=Tbill 3mo; 12=Tbill 6mo; 13=Tbill 1yr; 14=Tbill 3yr; 15=Tbill 5yr; 1Z=Tbill Other; 20=COFI Unknown Type; 21=COFI 11D; 22=COFI NM; 2Z=COFI Other; 30=LIBOR Unknown Type; 31=LIBOR 3mo; 32=LIBOR 6mo; 33=LIBOR 1yr; 3Z=LIBOR other; 40=FHLBB Ntl Mtg Rt; 50=Bank Prime Rate; 60=Certificate of Deposit; 70=FNMA/FHLMC; 80=MTA; 81=LAMA; 91=SOFR 1mo; 92=SOFR 3mo; 93=SOFR 6mo; 94=SOFR 1yr; 99=SOFR Unknown Type; 9Z=SOFR Other; ZZ=Other; UU=Unknown; B1=BSBY 1mo; B2=BSBY 3mo; B3=BSBY 6mo; B4=BSBY 1yr; B5=BSBY Unknown Type; BZ=BSBY Other",Character(2)
30,ARM Margin at Origination,M174,"ARM margin - Report the margin for adjustable rate loans, which is the rate added to the index to determine the monthly interest rate at origination.","Provide as a fraction. E.g.: 0.0575 for 5.75%","Numeric, to 5 decimals"
31,ARM Periodic Rate Cap,M176,"ARM Periodic Rate Cap - Report the periodic interest rate cap for adjustable rate loans. Absolute rate cap (not spread from original). Populate with origination values.","Provide as a fraction. E.g.: 0.0175 for 1.75%","Numeric, to 5 decimals"
32,ARM Periodic Rate Floor,M177,"ARM Periodic Rate Floor - Report the periodic interest rate floor for adjustable rate loans. Absolute rate floor (not spread from original). Populate with origination values.","Provide as a fraction. E.g.: 0.0175 for 1.75%","Numeric, to 5 decimals"
33,ARM Lifetime Rate Cap,M178,"ARM Lifetime Rate Cap - Report the lifetime interest rate for adjustable rate mortgages. Absolute rate cap (not spread from original). Populate with origination values.","Provide as a fraction. E.g.: 0.0575 for 5.75%","Numeric, to 5 decimals"
34,ARM Lifetime Rate Floor,M179,"ARM Lifetime Rate Floor - Report the minimum lifetime interest rate for adjustable rate mortgages. Absolute rate floor (not spread from original). Populate with origination values.","Provide as a fraction. E.g.: 0.0575 for 5.75%","Numeric, to 5 decimals"
35,ARM Periodic Pay Cap (Retired March 2020),M180,Retired March 2020,,
36,ARM Periodic Pay Floor (Retired March 2020),M181,Retired March 2020,,
37,Original Loan/Line Term,M184,"Report the term in months on the original loan/line. For both home equity loans and lines of credit. For a line of credit, the term should be combined draw period and amortized repayment period. For commercial system demand accounts, leave blank. Do not change for modifications. Use '999' for evergreen loans.","Whole Number. Allowable values: 0 - 600, 999",Whole Number
38,Bankruptcy Flag,M194,"Bankruptcy flag - Report whether the borrower is in bankruptcy as of the end of the reporting month. Flag all loans where the servicer has been notified of the borrowers' bankruptcy declaration. Include co-borrowers.","N = Not in bankruptcy in reporting month; Y = In bankruptcy in reporting month",Character(1)
39,Next Payment Due Date,M196,"Next payment due date - Report the due date for the next outstanding payment on the loan. For delinquent loans, this date will be in the past. Leave blank for accounts closed in current month. For Chapter 13 bankruptcy, report contractual due date.",YYYYMMDD,YYYYMMDD
40,Original Interest Rate,M185,"Original Interest Rate - Report the annual percentage rate as specified on the note at the time of origination.","Provide as a fraction. E.g.: 0.0575 for 5.75%","Numeric, to 5 decimals"
41,Current Interest Rate,M197,"Current Interest Rate - Report the annual percentage rate of the loan as of the last day of the reporting month.","Provide as a fraction. E.g.: 0.0575 for 5.75%","Numeric, to 5 decimals"
42,Interest Type - Current,M248,"Interest Type in Current Month - Report the interest type in the reporting month.","1 = Fixed; 2 = Variable",Character(1)
43,Principal and Interest (P&I) Amount Current,M200,"Principal and Interest (P&I) Amount Current - Report the scheduled principal and interest due from the borrower in the reporting month. For balloon loans paying off, report the full amount due. A value of 0 is permissible for paying-off loans and REO records. For quarterly-billed mortgages, report zero for off-quarter months. Do not include past due amounts.","Whole Number e.g., 5123 for $5,122.81. Use banker's rounding.",Whole Number
44,Unpaid Principal Balance,M201,"Unpaid Principal Balance - Report the current unpaid balance at end of reporting month. Does not include charge-offs, discounts or other accounting marks. For loans: reduce to zero only when liquidated. For lines: reduce to zero when liquidated or credit line not being utilized.","e.g, 125000 for $125,000.00. Use banker's rounding.",Whole Number
45,Monthly Draw Amount,M249,"For home equity line of credit accounts, report the total amount drawn during the month. For lines with a zero balance and no draws, report '0'.","e.g., 125000 for $125,000.00. Use banker's rounding.",Whole Number
